# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
    132   9.702281e+00   6.148471e-02   2.316646e+00   0.000000e+00   0.000000e+00
    133   9.749156e+00   6.204186e-02   2.306186e+00   0.000000e+00   0.000000e+00
    134   9.796031e+00   6.260151e-02   2.295821e+00   0.000000e+00   0.000000e+00
    135   9.842906e+00   6.316366e-02   2.285550e+00   0.000000e+00   0.000000e+00
    136   9.889781e+00   6.372832e-02   2.275371e+00   0.000000e+00   0.000000e+00
    137   9.936656e+00   6.429549e-02   2.265284e+00   0.000000e+00   0.000000e+00
    138   9.983531e+00   6.486516e-02   2.255286e+00   0.000000e+00   0.000000e+00
    139   1.003041e+01   6.543733e-02   2.245376e+00   0.000000e+00   0.000000e+00
    140   1.007728e+01   6.601201e-02   2.235555e+00   0.000000e+00   0.000000e+00
    141   1.012416e+01   6.658920e-02   2.225820e+00   0.000000e+00   0.000000e+00
    142   1.017103e+01   6.716889e-02   2.216169e+00   0.000000e+00   0.000000e+00
    143   1.021791e+01   6.775109e-02   2.206603e+00   0.000000e+00   0.000000e+00
    144   1.026478e+01   6.833580e-02   2.197121e+00   0.000000e+00   0.000000e+00
    145   1.031166e+01   6.892301e-02   2.187720e+00   0.000000e+00   0.000000e+00
    146   1.035853e+01   6.951273e-02   2.178400e+00   0.000000e+00   0.000000e+00
    147   1.040541e+01   7.010495e-02   2.169159e+00   0.000000e+00   0.000000e+00
    148   1.045228e+01   7.069968e-02   2.159998e+00   0.000000e+00   0.000000e+00
    149   1.049916e+01   7.129692e-02   2.150915e+00   0.000000e+00   0.000000e+00
    150   1.054603e+01   7.189667e-02   2.141908e+00   0.000000e+00   0.000000e+00
    151   1.059291e+01   7.249892e-02   2.132978e+00   0.000000e+00   0.000000e+00
    152   1.063978e+01   7.310368e-02   2.124122e+00   0.000000e+00   0.000000e+00
    153   1.068666e+01   7.371095e-02   2.115340e+00   0.000000e+00   0.000000e+00
    154   1.073353e+01   7.432073e-02   2.106632e+00   0.000000e+00   0.000000e+00
    155   1.078041e+01   7.493301e-02   2.097996e+00   0.000000e+00   0.000000e+00
    156   1.082728e+01   7.554780e-02   2.089431e+00   0.000000e+00   0.000000e+00
    157   1.087416e+01   7.616511e-02   2.080936e+00   0.000000e+00   0.000000e+00
