# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
    182   2.409206e+01   9.241369e-02   1.889190e+00   0.000000e+00   0.000000e+00
    183   2.418581e+01   9.309631e-02   1.882263e+00   0.000000e+00   0.000000e+00
    184   2.427956e+01   9.378144e-02   1.875388e+00   0.000000e+00   0.000000e+00
    185   2.437331e+01   9.446909e-02   1.868563e+00   0.000000e+00   0.000000e+00
    186   2.446706e+01   9.515926e-02   1.861789e+00   0.000000e+00   0.000000e+00
    187   2.456081e+01   9.585195e-02   1.855065e+00   0.000000e+00   0.000000e+00
    188   2.465456e+01   9.654715e-02   1.848390e+00   0.000000e+00   0.000000e+00
    189   2.474831e+01   9.724487e-02   1.841764e+00   0.000000e+00   0.000000e+00
    190   2.484206e+01   9.794511e-02   1.835186e+00   0.000000e+00   0.000000e+00
    191   2.493581e+01   9.864787e-02   1.828656e+00   0.000000e+00   0.000000e+00
    192   2.502956e+01   9.935315e-02   1.822173e+00   0.000000e+00   0.000000e+00
    193   2.512331e+01   1.000609e-01   1.815737e+00   0.000000e+00   0.000000e+00
    194   2.521706e+01   1.007713e-01   1.809348e+00   0.000000e+00   0.000000e+00
    195   2.531081e+01   1.014841e-01   1.803004e+00   0.000000e+00   0.000000e+00
    196   2.540456e+01   1.021995e-01   1.796705e+00   0.000000e+00   0.000000e+00
    197   2.549831e+01   1.029174e-01   1.790451e+00   0.000000e+00   0.000000e+00
    198   2.559206e+01   1.036378e-01   1.784242e+00   0.000000e+00   0.000000e+00
    199   2.568581e+01   1.043607e-01   1.778076e+00   0.000000e+00   0.000000e+00
    200   2.577956e+01   1.050861e-01   1.771954e+00   0.000000e+00   0.000000e+00
    201   2.587331e+01   1.058141e-01   1.765875e+00   0.000000e+00   0.000000e+00
    202   2.596706e+01   1.065446e-01   1.759838e+00   0.000000e+00   0.000000e+00
    203   2.606081e+01   1.072776e-01   1.753844e+00   0.000000e+00   0.000000e+00
    204   2.615456e+01   1.080132e-01   1.747892e+00   0.000000e+00   0.000000e+00
    205   2.624831e+01   1.087512e-01   1.741980e+00   0.000000e+00   0.000000e+00
    206   2.634206e+01   1.094918e-01   1.736110e+00   0.000000e+00   0.000000e+00
    207   2.643581e+01   1.102350e-01   1.730280e+00   0.000000e+00   0.000000e+00
    208   2.652956e+01   1.109806e-01   1.724490e+00   0.000000e+00   0.000000e+00
    209   2.662331e+01   1.117288e-01   1.718740e+00   0.000000e+00   0.000000e+00
    210   2.671706e+01   1.124795e-01   1.713029e+00   0.000000e+00   0.000000e+00
    211   2.681081e+01   1.132328e-01   1.707357e+00   0.000000e+00   0.000000e+00
    212   2.690456e+01   1.139885e-01   1.701724e+00   0.000000e+00   0.000000e+00
    213   2.699831e+01   1.147468e-01   1.696129e+00   0.000000e+00   0.000000e+00
    214   2.709206e+01   1.155077e-01   1.690571e+00   0.000000e+00   0.000000e+00
    215   2.718581e+01   1.162710e-01   1.685051e+00   0.000000e+00   0.000000e+00
    216   2.727956e+01   1.170369e-01   1.679568e+00   0.000000e+00   0.000000e+00
    217   2.737331e+01   1.178053e-01   1.674122e+00   0.000000e+00   0.000000e+00
    218   2.746706e+01   1.185763e-01   1.668712e+00   0.000000e+00   0.000000e+00
    219   2.756081e+01   1.193498e-01   1.663338e+00   0.000000e+00   0.000000e+00
    220   2.765456e+01   1.201258e-01   1.658000e+00   0.000000e+00   0.000000e+00
    221   2.774831e+01   1.209044e-01   1.652697e+00   0.000000e+00   0.000000e+00
    222   2.784206e+01   1.216855e-01   1.647429e+00   0.000000e+00   0.000000e+00
    223   2.793581e+01   1.224691e-01   1.642196e+00   0.000000e+00   0.000000e+00
    224   2.802956e+01   1.232553e-01   1.636997e+00   0.000000e+00   0.000000e+00
    225   2.812331e+01   1.240440e-01   1.631833e+00   0.000000e+00   0.000000e+00
    226   2.821706e+01   1.248352e-01   1.626701e+00   0.000000e+00   0.000000e+00
    227   2.831081e+01   1.256290e-01   1.621604e+00   0.000000e+00   0.000000e+00
    228   2.840456e+01   1.264253e-01   1.616539e+00   0.000000e+00   0.000000e+00
    229   2.849831e+01   1.272242e-01   1.611507e+00   0.000000e+00   0.000000e+00
    230   2.859206e+01   1.280256e-01   1.606508e+00   0.000000e+00   0.000000e+00
    231   2.868581e+01   1.288296e-01   1.601541e+00   0.000000e+00   0.000000e+00
    232   2.877956e+01   1.296361e-01   1.596605e+00   0.000000e+00   0.000000e+00
    233   2.887331e+01   1.304451e-01   1.591702e+00   0.000000e+00   0.000000e+00
    234   2.896706e+01   1.312567e-01   1.586830e+00   0.000000e+00   0.000000e+00
    235   2.906081e+01   1.320708e-01   1.581988e+00   0.000000e+00   0.000000e+00
    236   2.915456e+01   1.328875e-01   1.577178e+00   0.000000e+00   0.000000e+00
    237   2.924831e+01   1.337068e-01   1.572398e+00   0.000000e+00   0.000000e+00
    238   2.934206e+01   1.345285e-01   1.567648e+00   0.000000e+00   0.000000e+00
    239   2.943581e+01   1.353529e-01   1.562928e+00   0.000000e+00   0.000000e+00
    240   2.952956e+01   1.361797e-01   1.558238e+00   0.000000e+00   0.000000e+00
    241   2.962331e+01   1.370092e-01   1.553578e+00   0.000000e+00   0.000000e+00
    242   2.971706e+01   1.378412e-01   1.548946e+00   0.000000e+00   0.000000e+00
    243   2.981081e+01   1.386757e-01   1.544344e+00   0.000000e+00   0.000000e+00
    244   2.990456e+01   1.395128e-01   1.539770e+00   0.000000e+00   0.000000e+00
    245   2.999831e+01   1.403524e-01   1.535224e+00   0.000000e+00   0.000000e+00
    246   3.009206e+01   1.411946e-01   1.530707e+00   0.000000e+00   0.000000e+00
    247   3.018581e+01   1.420394e-01   1.526218e+00   0.000000e+00   0.000000e+00
    248   3.027956e+01   1.428867e-01   1.521756e+00   0.000000e+00   0.000000e+00
    249   3.037331e+01   1.437366e-01   1.517322e+00   0.000000e+00   0.000000e+00
    250   3.046706e+01   1.445890e-01   1.512916e+00   0.000000e+00   0.000000e+00
    251   3.056081e+01   1.454440e-01   1.508536e+00   0.000000e+00   0.000000e+00
    252   3.065456e+01   1.463016e-01   1.504183e+00   0.000000e+00   0.000000e+00
    253   3.074831e+01   1.471617e-01   1.499856e+00   0.000000e+00   0.000000e+00
    254   3.084206e+01   1.480244e-01   1.495556e+00   0.000000e+00   0.000000e+00
    255   3.093581e+01   1.488897e-01   1.491282e+00   0.000000e+00   0.000000e+00
    256   3.102956e+01   1.497575e-01   1.487034e+00   0.000000e+00   0.000000e+00
    257   3.112331e+01   1.506279e-01   1.482812e+00   0.000000e+00   0.000000e+00
    258   3.121706e+01   1.515008e-01   1.478615e+00   0.000000e+00   0.000000e+00
    259   3.131081e+01   1.523764e-01   1.474443e+00   0.000000e+00   0.000000e+00
    260   3.140456e+01   1.532545e-01   1.470297e+00   0.000000e+00   0.000000e+00
    261   3.149831e+01   1.541351e-01   1.466175e+00   0.000000e+00   0.000000e+00
    262   3.159206e+01   1.550184e-01   1.462078e+00   0.000000e+00   0.000000e+00
    263   3.168581e+01   1.559042e-01   1.458006e+00   0.000000e+00   0.000000e+00
    264   3.177956e+01   1.567926e-01   1.453958e+00   0.000000e+00   0.000000e+00
    265   3.187331e+01   1.576836e-01   1.449934e+00   0.000000e+00   0.000000e+00
    266   3.196706e+01   1.585772e-01   1.445933e+00   0.000000e+00   0.000000e+00
    267   3.206081e+01   1.594733e-01   1.441957e+00   0.000000e+00   0.000000e+00
    268   3.215456e+01   1.603721e-01   1.438004e+00   0.000000e+00   0.000000e+00
    269   3.224831e+01   1.612734e-01   1.434074e+00   0.000000e+00   0.000000e+00
    270   3.234206e+01   1.621773e-01   1.430168e+00   0.000000e+00   0.000000e+00
    271   3.243581e+01   1.630838e-01   1.426284e+00   0.000000e+00   0.000000e+00
    272   3.252956e+01   1.639928e-01   1.422423e+00   0.000000e+00   0.000000e+00
    273   3.262331e+01   1.649045e-01   1.418585e+00   0.000000e+00   0.000000e+00
    274   3.271706e+01   1.658188e-01   1.414770e+00   0.000000e+00   0.000000e+00
    275   3.281081e+01   1.667356e-01   1.410976e+00   0.000000e+00   0.000000e+00
    276   3.290456e+01   1.676551e-01   1.407205e+00   0.000000e+00   0.000000e+00
    277   3.299831e+01   1.685771e-01   1.403456e+00   0.000000e+00   0.000000e+00
    278   3.309206e+01   1.695018e-01   1.399728e+00   0.000000e+00   0.000000e+00
    279   3.318581e+01   1.704290e-01   1.396022e+00   0.000000e+00   0.000000e+00
    280   3.327956e+01   1.713588e-01   1.392338e+00   0.000000e+00   0.000000e+00
    281   3.337331e+01   1.722913e-01   1.388674e+00   0.000000e+00   0.000000e+00
    282   3.346706e+01   1.732263e-01   1.385032e+00   0.000000e+00   0.000000e+00
    283   3.356081e+01   1.741640e-01   1.381411e+00   0.000000e+00   0.000000e+00
    284   3.365456e+01   1.751042e-01   1.377811e+00   0.000000e+00   0.000000e+00
    285   3.374831e+01   1.760471e-01   1.374231e+00   0.000000e+00   0.000000e+00
    286   3.384206e+01   1.769926e-01   1.370672e+00   0.000000e+00   0.000000e+00
    287   3.393581e+01   1.779407e-01   1.367133e+00   0.000000e+00   0.000000e+00
    288   3.402956e+01   1.788914e-01   1.363615e+00   0.000000e+00   0.000000e+00
    289   3.412331e+01   1.798447e-01   1.360116e+00   0.000000e+00   0.000000e+00
    290   3.421706e+01   1.808007e-01   1.356638e+00   0.000000e+00   0.000000e+00
    291   3.431081e+01   1.817592e-01   1.353179e+00   0.000000e+00   0.000000e+00
    292   3.440456e+01   1.827204e-01   1.349740e+00   0.000000e+00   0.000000e+00
    293   3.449831e+01   1.836842e-01   1.346320e+00   0.000000e+00   0.000000e+00
    294   3.459206e+01   1.846507e-01   1.342920e+00   0.000000e+00   0.000000e+00
    295   3.468581e+01   1.856198e-01   1.339539e+00   0.000000e+00   0.000000e+00
    296   3.477956e+01   1.865915e-01   1.336177e+00   0.000000e+00   0.000000e+00
    297   3.487331e+01   1.875658e-01   1.332834e+00   0.000000e+00   0.000000e+00
    298   3.496706e+01   1.885428e-01   1.329510e+00   0.000000e+00   0.000000e+00
    299   3.506081e+01   1.895224e-01   1.326205e+00   0.000000e+00   0.000000e+00
    300   3.515456e+01   1.905046e-01   1.322918e+00   0.000000e+00   0.000000e+00
    301   3.524831e+01   1.914895e-01   1.319650e+00   0.000000e+00   0.000000e+00
    302   3.534206e+01   1.924770e-01   1.316400e+00   0.000000e+00   0.000000e+00
    303   3.543581e+01   1.934672e-01   1.313168e+00   0.000000e+00   0.000000e+00
    304   3.552956e+01   1.944600e-01   1.309954e+00   0.000000e+00   0.000000e+00
    305   3.562331e+01   1.954555e-01   1.306758e+00   0.000000e+00   0.000000e+00
    306   3.571706e+01   1.964536e-01   1.303580e+00   0.000000e+00   0.000000e+00
    307   3.581081e+01   1.974544e-01   1.300420e+00   0.000000e+00   0.000000e+00
    308   3.590456e+01   1.984578e-01   1.297277e+00   0.000000e+00   0.000000e+00
    309   3.599831e+01   1.994639e-01   1.294152e+00   0.000000e+00   0.000000e+00
    310   3.609206e+01   2.004727e-01   1.291044e+00   0.000000e+00   0.000000e+00
    311   3.618581e+01   2.014841e-01   1.287954e+00   0.000000e+00   0.000000e+00
    312   3.627956e+01   2.024982e-01   1.284880e+00   0.000000e+00   0.000000e+00
    313   3.637331e+01   2.035150e-01   1.281824e+00   0.000000e+00   0.000000e+00
    314   3.646706e+01   2.045344e-01   1.278785e+00   0.000000e+00   0.000000e+00
    315   3.656081e+01   2.055565e-01   1.275762e+00   0.000000e+00   0.000000e+00
    316   3.665456e+01   2.065813e-01   1.272756e+00   0.000000e+00   0.000000e+00
    317   3.674831e+01   2.076088e-01   1.269767e+00   0.000000e+00   0.000000e+00
    318   3.684206e+01   2.086389e-01   1.266794e+00   0.000000e+00   0.000000e+00
    319   3.693581e+01   2.096718e-01   1.263837e+00   0.000000e+00   0.000000e+00
    320   3.702956e+01   2.107073e-01   1.260897e+00   0.000000e+00   0.000000e+00
    321   3.712331e+01   2.117455e-01   1.257973e+00   0.000000e+00   0.000000e+00
